,Name,arable,forest,managed_grassland,semi_natural,urban,NA,crop_div,crop_rich,mass_fl_area,mass_fl_pa,EUNIS_div_agg,EUNIS_rich_agg,EUNIS_div,EUNIS_rich
27,GFH4,0.927080400004936,0.0273483535377087,0.00162906421956139,0.0293827794338658,0.0145594028039282,0,1.08998927656865,3,0,0,0.344303998503901,5,0.364310185376299,6
28,GFH5,0.813502359958237,0.00659324218987381,0.0643442162890945,0.0481490419955427,0.0674111395672522,0,1.28708462952683,4,0,0,0.705412414323713,5,0.759585980145993,9
29,GFH6,0.240722269632237,0.199201840901877,0.0205337438683314,0.539542145597555,0,0,0.684247116683237,2,0,0,1.07691861909065,4,1.7893953782408,9
30,GFH7,0.854141674098272,0,0,0.145858325901728,0,0,0.683003297891774,2,107255.617973212,1,0.415457149765002,2,0.594809058127865,5
31,GFH8,0.739252912435405,0.0224354083710496,0.135621055683555,0.10269062350999,0,0,0.693147180559945,2,72575.4534473566,1,0.813212784973911,4,0.908888966630019,8
32,GFH9,0.904009133158691,0,0.0310497591639425,0.0209331288596021,0.0440079788177645,0,1.30761560779519,4,0,0,0.417428828640205,4,0.423265737643973,5
33,HAR1,0,0.459884981764653,0,0.540115018235347,0,0,0,0,0,0,0.689925289500595,2,1.01347561541774,4
34,HAR10,0.0461856186557891,0.694579779696748,0,0.259214004390546,0,2.05972569176977e-05,1.09861228866811,3,0,0,0.745350584502193,4,1.03265662143055,7
35,HAR11,0.0213605828678842,0.116861415027904,0,0.860422121333565,0,0.0013558807706472,0.693147180559945,2,2683.14501832798,1,0.471333837793669,4,1.32747336645291,7
36,HAR12,0.971363843699018,0,0,0.0286361563009823,0,0,1.29866653633406,4,50901.101156476,1,0.129968872609197,2,0.146048293734656,3
37,HAR13,0.262404969108,0.607057543022824,0,0.130537487869176,0,0,1.37132007671286,4,11610.3665872887,1,0.919851124776342,3,0.96289249069952,5
38,HAR14,0.652527638683817,0.183078980534241,0,0.164393380781942,0,0,0.685763548624401,3,85882.7696683656,1,0.886214702946779,3,0.951813057089198,5
39,HAR15,0.810010393889311,0.00810406143460831,0.129884991772177,0.0520005529039038,0,0,1.53346943765448,5,0,0,0.628548753223036,4,0.680404178740027,6
40,HAR16,0.027799784895473,0.79098238715917,0.0220154413720763,0.159202386573281,0,0,0.693147180559945,2,0,0,0.661626391486384,4,0.695725304452291,5
41,HAR2,0.49979572087107,0,0,0.50020427912893,0,0,1.09109258164064,3,34486.5764347464,1,0.693147097100018,2,0.72583636878688,3
42,HAR3,0.859180703113905,0,0.0349826403836446,0.0963076625538589,0.00952899394859181,0,1.32288112720441,5,87599.3536868757,1,0.517418712528787,4,0.551117275127431,6
43,HAR4,0.980962218167135,0,0,0.019037781832865,0,0,1.00360689630141,3,120036.178241756,1,0.0942703338686972,2,0.107131203974034,3
44,HAR5,0.844232406106544,0.116108732144973,0,0.0396588617484829,0,0,0.693147180559945,2,0,0,0.520956953469476,3,0.540309411852514,4
45,HAR6,0.2926301640785,0.145462835259632,0,0.56189072981659,0,1.62708452775404e-05,1.09861228866811,3,0,0,0.964105738985174,4,1.0336532701299,5
46,HAR7,0.731783978542378,0.0623169445145193,0,0.205899076943103,0,0,0.792919064224266,3,91916.6742728222,1,0.726872717846552,3,0.815719633280326,5
47,HAR8,0.961076962625815,0,0,0.0389230373741852,0,0,1.09469249624571,3,51312.353030079,1,0.164506268671425,2,0.182859274908056,3
48,HAR9,0.906572550521943,0.0162884939207152,0,0.0771389555573414,0,0,0.69238379887389,2,4006.00543904305,1,0.353626349179934,3,0.434399730996423,6
49,SIP1,0.698675826196439,0,0,0.29876535938036,0,0.0025588144232006,0.69138336422285,2,5101.21803931892,1,0.626732090843076,3,0.672443282043264,5
50,SIP10,0.965941194393298,0,0,0.0289159153486135,0,0.00514289025808873,0.602306980510221,2,1782.1005038172,1,0.163035445573209,3,0.183073839594169,4
51,SIP11,0.331812185657861,0,0.241993224300447,0.0605228400303871,0.365408021001441,0.000263729009864465,0.669206925087692,2,27680.3962832674,1,1.24919652467606,5,1.30882898053769,7
52,SIP12,0.439210866621902,0,0.466482699040224,0.0943064343378732,0,0,0.693147180559945,2,0,0,0.939757990248149,3,1.03735667793074,5
